"jQuery","jQuery"
"jQuery UI","jQuery UI"
"General","General"
"jQuery Enabled","jQuery Enabled"
"jQuery Migrate Enabled","jQuery Migrate Enabled"
"jQuery UI Enabled","jQuery UI Enabled"
"CDN Source","CDN Source"
"Use Google CDN","Use Google CDN"
"If using the CDN, make sure to disable any local sources.","If using the CDN, make sure to disable any local sources."
"Local Source","Local Source"
"If using local sources, make sure to disable the CDN.","If using local sources, make sure to disable the CDN."
"Use Minified Source","Use Minified Source"
"Versions","Versions"
